Country,Region,LIFE_LADDER_2020,PASSENGERS_2019,PASSENGERS_2020,PASSENGERS_2023,PCT_CHANGE_2019_2020,PCT_CHANGE_2019_2023
Slovenia,Europe & Central Asia,6.462,869640.1,78565.0,,-90.9658,
South Africa,Sub-Saharan Africa,4.947,26211258.0,8304771.044,15454595.699,-68.316,-41.0383
South Korea,East Asia & Pacific,5.793,92434079.0,30033310.0,76272453.877,-67.5084,-17.4845
Spain,Europe & Central Asia,6.502,88237165.272,26557077.999,94101520.461,-69.9026,6.6461
Sweden,Europe & Central Asia,7.314,50957868.602,14105839.7975,19554551.0,-72.3186,-61.626
Switzerland,Europe & Central Asia,7.508,30339654.0,9009607.2,27725233.09,-70.3042,-8.6172
Tajikistan,Europe & Central Asia,5.373,539094.616,260316.0,690677.377,-51.7124,28.118
Tanzania,Sub-Saharan Africa,3.786,1498093.0,823670.0,1911063.0,-45.0188,27.5664
Thailand,East Asia & Pacific,5.885,76344410.0,28179302.666,51920692.0,-63.0892,-31.9915
Tunisia,Middle East & N. Africa,4.731,4335325.0,1381745.0,4110265.0,-68.1282,-5.1913
Turkey,Europe & Central Asia,4.862,111131475.0,44722690.061,125940241.0,-59.757,13.3254
Uganda,Sub-Saharan Africa,4.641,19822.5,4946.0,21650.2,-75.0486,9.2203
Ukraine,Europe & Central Asia,5.27,7604522.332,1801014.0,,-76.3165,
UAE,Middle East & N. Africa,6.458,93995208.09,26116897.0,91062293.0,-72.2147,-3.1203
United Kingdom,Europe & Central Asia,6.798,142392528.0,30237827.0,118945920.0,-78.7645,-16.4662
United States,Americas,7.028,926737000.0,369501000.0,941557000.0,-60.1288,1.5992
Venezuela,Americas,4.574,1516839.0,283524.0,1783667.0,-81.3082,17.5911
Zambia,Sub-Saharan Africa,4.838,17505.6896,8717.833,321738.797,-50.2,
